main_id,name,longitude,latitude,geometry,peatland_presence
QC-MAIN-f6f57dd6-1,Elysis,-71.17565,48.43214,POINT (-71.17565 48.43214),No data
QC-MAIN-9245d5f2-2,Alouette,-66.4429,50.1571,POINT (-66.4429 50.1571),peat dominated
QC-MAIN-0d3e2477-2,Arvida,-71.165521,48.430174,POINT (-71.165521 48.430174),No data
QC-MAIN-a80a23b5-2,Baie-Comeau,-68.1491,49.2562,POINT (-68.1491 49.2562),peat in soil mosaic
AB-MAIN-d0340ea2-2,Baymag,-115.210061,51.060022,POINT (-115.210061 51.060022),No data
QC-MAIN-1cdc4109-2,Bécancour,-72.3852,46.381,POINT (-72.3852 46.381),No data
ON-MAIN-ab3beaca-2,Blind River,-83.017246,46.180896,POINT (-83.017246 46.180896),No data
QC-MAIN-b82e1010-2,CCR,-73.511778,45.627518,POINT (-73.511778 45.627518),No data
ON-MAIN-79b5b7f0-2,Copper Cliff Complex,-81.0569,46.4801,POINT (-81.0569 46.4801),No data
QC-MAIN-2cd944d9-2,Niobec Converter,-71.158168,48.531738,POINT (-71.158168 48.531738),No data
NL-MAIN-f9946847-2,Beaver Brook,-55.196,48.715909,POINT (-55.196 48.715909),No data
QC-MAIN-3be44b79-1,Lithion St-Bruno,-73.349998,45.533333,POINT (-73.349998 45.533333),No data
ON-MAIN-e116f385-1,Ontario Spoke,-76.5,44.233334,POINT (-76.5 44.233334),No data
MB-MAIN-27fe043e-2,Tanco,-95.4502,50.4291,POINT (-95.4502 50.4291),peat in soil mosaic
AB-MAIN-e2815b92-1,Fortune Minerals Refinery,-112.513502,53.797615,POINT (-112.513502 53.797615),No data
NT-MAIN-47858377-1,NICO,-116.74583,63.55,POINT (-116.74583 63.55),peat dominated
ON-MAIN-0df6012f-1,Battery Materials Park,-79.62229,47.40635,POINT (-79.62229 47.40635),No data
QC-MAIN-a131cab8-2,Deschambault,-71.9467,46.6939,POINT (-71.9467 46.6939),No data
QC-MAIN-5dd926d1-2,Grande-Baie,-70.9258,48.3058,POINT (-70.9258 48.3058),No data
QC-MAIN-6c3c0289-1,Corner Bay Complex,-74.309,49.893,POINT (-74.309 49.893),No data
NL-MAIN-2b03e509-1,Great Burnt Lake,-56.1344,48.3758,POINT (-56.1344 48.3758),peat in soil mosaic
BC-MAIN-07ad2be6-1,Morrison,-126.3158,55.1944,POINT (-126.3158 55.1944),No data
BC-MAIN-955f8afa-1,North Island,-127.85639,50.67556,POINT (-127.85639 50.67556),No data
YT-MAIN-411f048c-1,Casino,-138.83333,62.73333,POINT (-138.83333 62.73333),No data
BC-MAIN-832d756d-1,Ootsa,-127.08333,53.63333,POINT (-127.08333 53.63333),No data
BC-MAIN-15627f87-2,Mount Milligan,-124.031,55.118,POINT (-124.031 55.118),No data
BC-MAIN-435152ad-2,Copper Mountain,-120.533,49.331,POINT (-120.533 49.331),No data
BC-MAIN-21e4646e-1,Ajax,-120.46,50.63,POINT (-120.46 50.63),No data
BC-MAIN-c87d00e6-1,Galore Creek,-131.45,57.13,POINT (-131.45 57.13),No data
BC-MAIN-b35001c5-1,GJ,-130.25,57.63,POINT (-130.25 57.63),No data
BC-MAIN-51177ba8-1,Kemess,-126.77117,57.05037,POINT (-126.77117 57.05037),No data
BC-MAIN-5ec20643-1,Kwanika,-125.271268,55.415303,POINT (-125.271268 55.415303),No data
NL-MAIN-bd410410-2,Ming,-56.087,49.915,POINT (-56.087 49.915),peat in soil mosaic
YT-MAIN-68063961-2,Minto,-137.23858,62.618875,POINT (-137.23858 62.618875),No data
BC-MAIN-89916018-1,Yellowhead,-119.817,51.52,POINT (-119.817 51.52),No data
YT-MAIN-6943b8cf-1,Carmacks,-136.7,62.33,POINT (-136.7 62.33),No data
MB-MAIN-84300b33-1,Rail,-100.5916,54.7463,POINT (-100.5916 54.7463),peat in soil mosaic
BC-MAIN-6b1be260-1,Huckleberry,-127.17333,53.67972,POINT (-127.17333 53.67972),No data
BC-MAIN-b799f085-1,Berg,-127.431,53.802,POINT (-127.431 53.802),No data
BC-MAIN-67ecc2f4-1,Schaft Creek,-131.0,57.36667,POINT (-131 57.36667),No data
BC-MAIN-1342ed5d-2,Gibraltar,-122.28716,52.528495,POINT (-122.28716 52.528495),No data
ON-MAIN-dcf3194d-2,McCreedy West,-81.39894,46.638059,POINT (-81.39894 46.638059),No data
ON-MAIN-099602fd-1,Thierry,-90.34694,51.49667,POINT (-90.34694 51.49667),peat dominated
BC-MAIN-040f6522-2,Highland Valley,-121.0483,50.4855,POINT (-121.0483 50.4855),No data
NU-MAIN-5d4f52b4-1,High Lake,-110.8436,67.37556,POINT (-110.8436 67.37556),No data
SK-MAIN-92c5ea59-1,McIlvenna Bay,-102.89498,54.65977,POINT (-102.89498 54.65977),No data
BC-MAIN-b6add796-1,Kutcho,-128.38736,58.20996,POINT (-128.38736 58.20996),No data
ON-MAIN-af5d904f-2,Kidd Creek,-81.37,48.6894,POINT (-81.37 48.6894),peat dominated
QC-MAIN-6ac74402-2,Horne,-79.0151,48.2534,POINT (-79.0151 48.2534),No data
BC-MAIN-637c52c2-2,Kitimat,-128.6954,53.9976,POINT (-128.6954 53.9976),No data
NL-MAIN-790a609b-1,AGS Fluorspar,-55.4003,46.9038,POINT (-55.4003 46.9038),No data
MB-MAIN-8f99fefb-2,New Britannia,-100.024002,54.886349,POINT (-100.024002 54.886349),peat in soil mosaic
QC-MAIN-383c2fa3-1,Akasaba West,-77.58,48.04,POINT (-77.58 48.04),peat dominated
BC-MAIN-1638bb75-1,Golden Crown,-118.59,49.09,POINT (-118.59 49.09),No data
BC-MAIN-ac5c4f8e-1,New Prosperity,-123.62,51.46,POINT (-123.62 51.46),peat in soil mosaic
ON-MAIN-41bc0337-1,Upper Beaver,-79.76,48.16,POINT (-79.76 48.16),No data
BC-MAIN-e6cded7f-2,Mount Polley,-121.633931,52.544959,POINT (-121.633931 52.544959),No data
BC-MAIN-bc178f67-2,New Afton,-120.514,50.661,POINT (-120.514 50.661),No data
BC-MAIN-95797c9b-2,Red Chris,-129.78333,57.7,POINT (-129.78333 57.7),No data
QC-MAIN-5d1776d5-1,Troilus,-74.46,51.01,POINT (-74.46 51.01),peat in soil mosaic
BC-MAIN-18aacb3e-1,Iskut,-131.0925,56.66667,POINT (-131.0925 56.66667),No data
