row_id,climate_category_id,main_id,name,geometry,year,scenario,category
CC-c1c7eb99-1991_2020-historical-1,QC-MAIN-c1c7eb99,QC-MAIN-c1c7eb99,Arvida,POINT (-71.165521 48.430174),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-3aa117d8-1991_2020-historical-1,QC-MAIN-3aa117d8,QC-MAIN-3aa117d8,Alma,POINT (-71.6897 48.5847),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-eac5a52b-1991_2020-historical-1,QC-MAIN-eac5a52b,QC-MAIN-eac5a52b,Deschambault,POINT (-71.9467 46.6939),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-c8966bdc-1991_2020-historical-1,QC-MAIN-c8966bdc,QC-MAIN-c8966bdc,Bécancour,POINT (-72.3852 46.381),1991_2020,historical,
CC-529c96b4-1991_2020-historical-1,QC-MAIN-529c96b4,QC-MAIN-529c96b4,CCR,POINT (-73.511778 45.627518),1991_2020,historical,"Dfa - Cold, no dry season, hot summer"
CC-4f03382f-1991_2020-historical-1,QC-MAIN-4f03382f,QC-MAIN-4f03382f,Sainte-Catherine,POINT (-73.601869 45.402369),1991_2020,historical,
CC-abb3e1c7-1991_2020-historical-1,QC-MAIN-abb3e1c7,QC-MAIN-abb3e1c7,General Smelting Company of Canada,POINT (-73.676345 45.448518),1991_2020,historical,"Dfa - Cold, no dry season, hot summer"
CC-de3d8b7b-1991_2020-historical-1,QC-MAIN-de3d8b7b,QC-MAIN-de3d8b7b,Canadian Electrolytic Zinc Limited (CEZinc),POINT (-74.097205 45.228312),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-30c1828c-1991_2020-historical-1,QC-MAIN-30c1828c,QC-MAIN-30c1828c,Horne,POINT (-79.0151 48.2534),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-dca9cce7-1991_2020-historical-1,ON-MAIN-dca9cce7,ON-MAIN-dca9cce7,Ottawa,POINT (-75.69922 45.431332),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-237587f6-1991_2020-historical-1,ON-MAIN-237587f6,ON-MAIN-237587f6,Port Hope,POINT (-78.2943 43.9429),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-2e13aaa0-1991_2020-historical-1,ON-MAIN-2e13aaa0,ON-MAIN-2e13aaa0,Port Colborne,POINT (-79.24 42.883),1991_2020,historical,"Dfa - Cold, no dry season, hot summer"
CC-137bbc71-1991_2020-historical-1,ON-MAIN-137bbc71,ON-MAIN-137bbc71,Mississauga,POINT (-79.57979 43.60506),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-b466361f-1991_2020-historical-1,ON-MAIN-b466361f,ON-MAIN-b466361f,Mississauga,POINT (-79.6671 43.7058),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-e928d96a-1991_2020-historical-1,ON-MAIN-e928d96a,ON-MAIN-e928d96a,Brampton,POINT (-79.722125 43.691066),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-40ce0593-1991_2020-historical-1,ON-MAIN-40ce0593,ON-MAIN-40ce0593,Sudbury,POINT (-80.7993 46.5763),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-63b394c3-1991_2020-historical-1,ON-MAIN-63b394c3,ON-MAIN-63b394c3,Copper Cliff Complex,POINT (-81.0569 46.4801),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-484e4fa3-1991_2020-historical-1,ON-MAIN-484e4fa3,ON-MAIN-484e4fa3,Blind River,POINT (-83.017246 46.180896),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
