main_id,facility_name,longitude,latitude,geometry,peatland_presence,source_id
ON-MAIN-6bd6cc80,Kingston Operation,-76.5121,44.2615,POINT (-76.5121 44.2615),No data,https://greifswaldmoor.de/global-peatland-database-en.html
MB-MAIN-a832fb0a,East Wekusko - Snow Lake,-99.77143,54.78534,POINT (-99.77143 54.78534),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-12730593,Kutcho,-128.38736,58.20996,POINT (-128.38736 58.20996),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-575c5e66,Ontario Spoke,-76.5,44.233334,POINT (-76.5 44.233334),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-6b998583,Markham lithium reprocessing facility,-79.3415,43.8331,POINT (-79.3415 43.8331),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-0414a373,Lithion St-Bruno,-73.349998,45.533333,POINT (-73.349998 45.533333),No data,https://greifswaldmoor.de/global-peatland-database-en.html
AB-MAIN-35d0dc71,Boardwalk,-117.163427,54.946792,POINT (-117.163427 54.946792),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-a2c6775d,La Loutre,-74.99714,46.03656,POINT (-74.99714 46.03656),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-b1d981ca,Crean Hill,-81.36167,46.42472,POINT (-81.36167 46.42472),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-54b7e152,Shakespeare,-81.85944,46.33417,POINT (-81.85944 46.33417),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-aa793d35,Dumont Nickel,-78.4425,48.64667,POINT (-78.4425 48.64667),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-649d2873,Niobec Converter,-71.158168,48.531738,POINT (-71.158168 48.531738),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-a555d9b9,Niobec,-71.156929,48.532148,POINT (-71.156929 48.532148),No data,https://greifswaldmoor.de/global-peatland-database-en.html
NB-MAIN-c1e4dee0,Battery Hill,-67.62547,46.22531,POINT (-67.62547 46.22531),No data,https://greifswaldmoor.de/global-peatland-database-en.html
NL-MAIN-f021107e,Point Rousse,-56.124447,49.96142,POINT (-56.124447 49.96142),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-615ebdb4,Lac Guéret (Uatnan),-69.1,51.14,POINT (-69.1 51.14),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-470b504b,Ottawa Plant,-75.562391,45.298042,POINT (-75.562391 45.298042),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-4e0734b5,Fox Complex,-80.340814,48.534362,POINT (-80.340814 48.534362),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-237d67c1,Lac Rainy Graphite,-67.07597,52.60511,POINT (-67.07597 52.60511),No data,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-c7247100,Driftwood Creek,-116.575,50.904,POINT (-116.575 50.904),No data,https://greifswaldmoor.de/global-peatland-database-en.html
YT-MAIN-752fbcae,Minto,-137.23858,62.618875,POINT (-137.23858 62.618875),No data,https://greifswaldmoor.de/global-peatland-database-en.html
NU-MAIN-8e62bfbc,High Lake,-110.8436,67.37556,POINT (-110.8436 67.37556),No data,https://greifswaldmoor.de/global-peatland-database-en.html
NU-MAIN-1ef8af2c,Izok Lake,-112.79889,65.63056,POINT (-112.79889 65.63056),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-eb73fd68,Nemaska lithium conversion facility,-72.433334,46.333332,POINT (-72.433334 46.333332),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-9d41d417,Whabouchi,-75.85333,51.67972,POINT (-75.85333 51.67972),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-2bb07cd3,River Valley,-80.27606,46.70591,POINT (-80.27606 46.70591),No data,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-aa76f6f2,New Afton,-120.514,50.661,POINT (-120.514 50.661),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-0aadf28f,Rainy River,-94.012,48.833,POINT (-94.012 48.833),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-1c674cd0,Borden,-83.260981,47.871883,POINT (-83.260981 47.871883),No data,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-857b7b89,Brucejack,-130.21783,56.47554,POINT (-130.21783 56.47554),No data,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-c720b195,GJ,-130.25,57.63,POINT (-130.25 57.63),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-8629a493,Hollinger,-81.31314,48.4733,POINT (-81.31314 48.4733),peat dominated,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-538513cd,Hoyle Pond,-81.1083,48.5519,POINT (-81.1083 48.5519),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-fefeaee4,Musselwhite,-90.3636,52.6127,POINT (-90.3636 52.6127),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-3b3e5365,Porcupine,-81.242719,48.463511,POINT (-81.242719 48.463511),No data,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-8eb8be0d,Red Chris,-129.78333,57.7,POINT (-129.78333 57.7),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-6dc537e6,Éléonore,-76.08667,52.69889,POINT (-76.08667 52.69889),No data,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-b4655afb,Galore Creek,-131.45,57.13,POINT (-131.45 57.13),No data,https://greifswaldmoor.de/global-peatland-database-en.html
SK-MAIN-3012889c,Rook I,-108.9925,57.59144,POINT (-108.9925 57.59144),No data,https://greifswaldmoor.de/global-peatland-database-en.html
YT-MAIN-1910d1c3,Nickel Shaw,-139.53333,61.46667,POINT (-139.53333 61.46667),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-288718a6,Crevier,-72.7644,49.46003,POINT (-72.7644 49.46003),No data,https://greifswaldmoor.de/global-peatland-database-en.html
NB-MAIN-f58cc895,Sisson,-67.045,46.365,POINT (-67.045 46.365),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-8b86d975,Bissett Creek,-78.05992,46.11814,POINT (-78.05992 46.11814),No data,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-6fbdcf4c,North Island,-127.85639,50.67556,POINT (-127.85639 50.67556),No data,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-265a57f6,Kwanika,-125.271268,55.415303,POINT (-125.271268 55.415303),No data,https://greifswaldmoor.de/global-peatland-database-en.html
NT-MAIN-b3681e03,Prairie Creek,-124.79938,61.55713,POINT (-124.79938 61.55713),No data,https://greifswaldmoor.de/global-peatland-database-en.html
