main_id,facility_type,Archetype table,By-product ratios table,Climate category table,Conflict table,Energy table,Environmental intensity table,Environmental flows table,Land cover table,Land occupation table,Peatland table,Population table,Prioritize conservation areas table,Production table,Protected & Indigenous land table,Reserves table,Tailings table,Water risk table,Weather table
NL-MAIN-18695C6D,advanced project,0,0,9,0,0,0,0,1,5,1,4,1,0,6,0,0,32,128
ON-MAIN-1AA10EFA,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,25,0,0,32,128
BC-MAIN-23F67EA8,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,5,0,0,32,128
BC-MAIN-6B4800FE,mining,1,2,9,0,3,1,219,1,4,1,4,1,9,38,9,0,32,128
BC-MAIN-18BED6D7,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,27,0,0,32,128
NL-MAIN-E09881FF,mining,1,0,9,0,0,0,0,1,6,1,4,1,0,3,0,0,32,128
QC-MAIN-B8C826A2,mining,1,0,9,0,0,0,0,1,0,1,4,1,0,4,0,0,32,128
BC-MAIN-BF503B6B,mining,0,0,9,0,0,0,176,1,1,1,4,1,2,157,0,4,32,128
BC-MAIN-193DDDDB,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,5,0,0,32,128
BC-MAIN-3BB6B7CD,manufacturing,0,0,9,0,0,0,261,1,0,1,4,1,1,25,0,0,32,128
