main_id,mincan_id,distance_m,facility_name,namemine,similarity_partial_score,similarity_token_set
ON-MAIN-c5fefb01,ON-MINCAN-1c3b8f14,14060.47,Mishi,Eagle River,22.22222222222222,12.5
BC-MAIN-feb13c30,,,Record Ridge,,,
YT-MAIN-5e0d8b48,,,Casino,,,
ON-MAIN-12c68d49,,,Eagle's Nest,,,
BC-MAIN-891d3cb5,,,Akie,,,
,ON-MINCAN-ccf2bf99,,,Haley,,
,NB-MINCAN-63ccd128,,,Stratmat (Halfmile),,
,ON-MINCAN-9abb16ea,,,Calcite Division,,
,QC-MINCAN-06b1f129,,,Parent Mica Deposit,,
,QC-MINCAN-227d3d18,,,Charlevoix,,
,AB-MINCAN-1f02a2f3,,,Coal Valley,,
,SK-MINCAN-5cc72a2d,,,Vascoy (Rocanville Division),,
,SK-MINCAN-3f1bcdcb,,,,,
,SK-MINCAN-cbfb59a3,,,Rocanville Division,,
,SK-MINCAN-0e7fd863,,,Shand,,
,BC-MINCAN-b7c27ef4,,,Wolverine or Perry Creek,,
,AB-MINCAN-fb104999,,,Vista,,
,QC-MINCAN-c4a792be,,,Domlin,,
,ON-MINCAN-dcad146e,,,,,
,BC-MINCAN-1af9c930,,,Premier,,
,BC-MINCAN-b1f8d21f,,,Dome Mountain,,
,ZZ-MINCAN-93489a7a,,,Pugwash,,
,BC-MINCAN-c4bfc9ab,,,,,
,BC-MINCAN-be8c27ca,,,Silver Queen,,
,ON-MINCAN-78fee3c0,,,Plant,,
,QC-MINCAN-44e0bdee,,,Sainte-Clotilde (Armand Sicotte) or Marcil Quarry,,
,ZZ-MINCAN-a62feaf9,,,Sussex (Lower Millstream Potash),,
,BC-MINCAN-9568ffa5,,,Quinsam,,
,ON-MINCAN-421e454e,,,Reiss Lime,,
